Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",Capacitor_0603,14,100nF,
"C15, C18, C19, C21, C24",Capacitor_0603,5,100nF,C307331
"C16, C17, C23",Capacitor_0603,3,1uF,C52923
"C20, C25",Capacitor_0603,2,4.7uF,C23733
C22,Capacitor_0603,1,10nF,C15195
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,14,~,
F1,Fuse_0603,1,500mA,C210357
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"LED1, LED10, LED11, LED12, LED13, LED14, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_MX_6028R,14,MX_SK6812MINI-E,
R1,Resistor_0805,1,10k,C25744
"R2, R3",Resistor_0402,2,5.1k,C25905
R5,0603,1,500,
"S1, S10, S11, S12, S13, S2, S3, S4, S5, S6, S7, S8, S9",MX_Hotswap_1.00u,13,~,
S14,MX_Hotswap_3.00u,1,~,
SW1,Button_TL3342,1,SW_Push,C115351
U1,Package_LQFP-48_7x7mm_P0.5,1,STM32F072CBT6,C81720
U2,OLED_SPI_128x128,1,~,
U3,Voltage_SOT-23,1,XC6206,C5446
U4,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
